date,ticker,open,high,low,close,volume,rsi,macd,signal_line
04-06-2018,HDFCBANK,1023.3250663535864,1026.6568223835748,969.9931483759289,973.9198608398438,44398162,52.841638348614886,16.155004818461975,12.74828554248097
05-06-2018,HDFCBANK,975.7285487286256,983.7961347081156,962.8774897941512,982.2017211914062,8552730,57.01516188183413,15.961834388546094,13.390995311693995
06-06-2018,HDFCBANK,980.5832374010864,982.7727232563602,973.348591404722,979.226806640625,4891000,55.583884723628174,15.391273667170251,13.791050982789248
07-06-2018,HDFCBANK,986.7708334454616,989.9122496226124,977.2515313358152,981.5352172851562,5281948,58.49762495854257,14.953000746941823,14.023440935619764
08-06-2018,HDFCBANK,980.0121451720236,981.083066651692,968.5889827222284,975.4191284179688,3090444,59.48394193209041,13.951326831466416,14.009018114789097
11-06-2018,HDFCBANK,976.6327941142016,981.8922319892088,970.397720694276,972.0635986328124,3545594,58.8493150684931,12.739872506492247,13.755188993129726
12-06-2018,HDFCBANK,976.6327537708838,977.0135490958752,970.2072829460244,972.80126953125,2617128,62.81120053791694,11.704389189575975,13.345029032418978
13-06-2018,HDFCBANK,976.6804598201212,978.0131854424272,963.4010208953068,966.8993530273438,3948980,58.51903648628507,10.288921579833412,12.733807541901864
14-06-2018,HDFCBANK,966.2092306,973.3487077077508,963.8294049428828,969.7313842773438,8463788,56.39386108310927,9.288601340521268,12.044766301625746
15-06-2018,HDFCBANK,964.3053969381256,970.4453590127132,962.5443491180632,966.0188598632812,5440408,50.06043742525829,8.102865856855487,11.256386212671694
18-06-2018,HDFCBANK,966.2568390957136,970.3977707601608,956.261570948807,961.0450439453124,3743702,49.908238893096026,6.684758827970427,10.34206073573144
19-06-2018,HDFCBANK,963.8056047408412,971.3020558338092,961.1164481313192,963.115478515625,5490576,47.94448880811982,5.662689596384894,9.406186507862133
20-06-2018,HDFCBANK,964.3052174129868,979.5360994254328,963.8292523500978,978.655517578125,4525856,30.788590653648484,6.0370522649844816,8.732359659286601
21-06-2018,HDFCBANK,980.4880949414624,985.6285412039688,974.324370206464,979.3458251953124,6755352,36.00843343067166,6.316625307965182,8.249212789022318
22-06-2018,HDFCBANK,979.0364407234188,994.1959764371112,975.657158057044,991.6019897460938,3924490,62.32174756290504,7.441379419103782,8.087646115038611
25-06-2018,HDFCBANK,991.4591087575868,998.4795938690232,986.6994578345792,997.1230469,3496168,60.81398013176478,8.67822119259688,8.205761130550265
26-06-2018,HDFCBANK,992.8871721855702,1000.9547586258768,989.9362113540265,996.5282592773438,4580966,62.98697669219152,9.50091221882451,8.464791348205114
27-06-2018,HDFCBANK,996.1950237252996,1008.8080997543108,994.7671283257888,1005.5239868164062,9563402,66.36384226706937,10.75480610609236,8.922794299782565
28-06-2018,HDFCBANK,1006.6663546426988,1018.5654841302012,1004.8576637201112,1014.21044921875,18766770,75.56485005579098,12.307576880565192,9.59975081593909
29-06-2018,HDFCBANK,1009.8552443473484,1018.5654299090191,1001.9542925096991,1003.5487060546876,9729060,68.92709802499982,12.533368467072364,10.186474346165744
02-07-2018,HDFCBANK,1003.5011618721404,1003.5248671674937,982.0350873103752,986.7947387695312,4932438,57.05380135311002,11.23094148256166,10.39536777344493
03-07-2018,HDFCBANK,986.794734507383,992.387324947736,983.1536476378265,985.343017578125,3431550,59.73375131181979,9.966726724641376,10.30963956368422
04-07-2018,HDFCBANK,988.222499673868,1003.358212493943,984.7717528357532,1001.2163696289062,3048996,64.60585015476508,10.128914451408493,10.273494541229075
05-07-2018,HDFCBANK,1001.9065865375773,1013.3297495194784,995.9808439812008,1010.8309326171876,4867984,69.70902517501064,10.907529068864848,10.400301446756233
06-07-2018,HDFCBANK,1005.8571440840692,1016.447368348854,1004.9290353103372,1006.7376098632812,4060672,70.25314161267195,11.066719571473412,10.533585071699669
09-07-2018,HDFCBANK,1009.926533112695,1013.8056019631864,1003.2153791257776,1011.735107421875,3091148,71.00549961711522,11.46398578677872,10.719665214715478
10-07-2018,HDFCBANK,1013.7581471308324,1023.1347537385604,1011.4259643293516,1021.611572265625,5475368,69.51356926591765,12.432456674775269,11.062223506727436
11-07-2018,HDFCBANK,1020.9690002915496,1026.0379823206829,1016.0903578287756,1022.4920654296876,2928960,69.56615605362103,13.119788515498044,11.47373650848156
12-07-2018,HDFCBANK,1024.7053792696488,1037.53273370402,1024.277057092917,1030.916748046875,4010334,68.4704943163342,14.18083756227304,12.015156719239856
13-07-2018,HDFCBANK,1032.082662890143,1042.744350712456,1029.560140854996,1038.0322265625,3580594,68.9358821654827,15.418155328801731,12.695756441152232
16-07-2018,HDFCBANK,1037.3182134606595,1042.387311111066,1029.8694066939004,1032.296875,4508668,65.80432755294284,15.754337439144024,13.307472640750593
17-07-2018,HDFCBANK,1029.6315994516804,1038.0799807715775,1029.6315994516804,1036.05712890625,3180962,64.14549082171118,16.138154647014517,13.873609042003377
18-07-2018,HDFCBANK,1040.9356120315715,1056.6424594010466,1034.581431842047,1035.795166015625,8730136,60.84649820699264,16.234058215786263,14.345698876759956
19-07-2018,HDFCBANK,1039.031907863805,1044.029541868647,1033.3203261439855,1040.5074462890625,2652388,69.7531750205186,16.50010122491824,14.776579346391612
20-07-2018,HDFCBANK,1040.5074251197002,1048.4798411080808,1033.3679481151803,1041.9114990234375,5003482,85.24022968141333,16.632508345072438,15.147765146127778
23-07-2018,HDFCBANK,1023.3249458638288,1036.6519684146135,1017.6371862656734,1026.3948974609375,8440066,72.24639675277763,15.308910284992976,15.179994173900818
24-07-2018,HDFCBANK,1021.8972641328568,1032.3684983251824,1021.8972641328568,1027.9658203125,2604396,67.15501725823783,14.222758524827327,14.988547044086122
25-07-2018,HDFCBANK,1030.2980138224923,1036.0810606685204,1028.0848221446847,1033.0111083984375,3519308,65.11021224151713,13.612175328991157,14.71327270106713
26-07-2018,HDFCBANK,1030.4643916137488,1048.765225582296,1030.4643916137488,1043.60107421875,10640546,73.07101400447232,13.82345727428401,14.535309615710506
27-07-2018,HDFCBANK,1048.0514366559933,1052.8110881462471,1039.841037835305,1048.1466064453125,5277298,72.9178031461337,14.194065844660486,14.467060861500505
30-07-2018,HDFCBANK,1046.647509256957,1046.647509256957,1027.7992402354716,1032.796875,3584560,56.58636235559313,13.098192947242184,14.19328727864884
31-07-2018,HDFCBANK,1028.0846470664142,1040.4120970479553,1023.3488174187916,1037.365966796875,4430472,58.39373619666552,12.454821869559735,13.84559419683102
01-08-2018,HDFCBANK,1029.4174459717915,1035.2241975404984,1024.1341863447512,1027.4659423828125,3035780,48.084514715269,11.019075381141874,13.28029043369319
02-08-2018,HDFCBANK,1024.9909511840224,1025.086120973598,1009.6887180826554,1013.9009399414062,4452852,37.50011855960513,8.686520810774823,12.361536509109518
03-08-2018,HDFCBANK,1015.495537320992,1021.9210672781464,1006.190394772181,1009.8314819335938,6802004,38.15867954283553,6.435399972276855,11.176309201742988
06-08-2018,HDFCBANK,1009.5218894299225,1017.327669911077,1002.4300565367664,1006.3329467773438,2872316,34.28928686412874,4.3192779926441744,9.804902959923224
07-08-2018,HDFCBANK,1011.4258611144654,1015.947529670036,1003.3344542255496,1014.2340087890624,3714228,39.45536279297451,3.242409274577426,8.492404222854065
08-08-2018,HDFCBANK,1016.5902644830516,1024.181885776185,1015.257538753904,1016.8282470703124,4972690,38.17453263251063,2.5687059620656782,7.307664570696388
